x;y;cluster;age;sex;nationality;height
0.0046942574574014;-0.0250246832644105;1;31;F;HU;185
-0.121539322203984;-0.275074137635965;1;15;M;HU;199
-0.455151610884089;-0.0565693975372595;1;43;M;RO;164
-0.194117804784911;0.523261408400874;1;17;M;BG;175
-0.19719193687571;-0.0661458599795685;1;43;M;BG;162
-0.714745360334693;-0.205700535546751;1;32;M;PL;185
0.0038912503418383;-0.0649526637906665;1;24;M;PL;175
0.0290234698320985;-0.155655585655269;1;25;F;PL;191
-0.116415571628111;0.338732561272587;1;17;M;PL;150
-0.478757051840594;-0.417533911411375;1;18;F;PL;164
0.13772256070863;0.525525351804625;1;31;M;PL;191
-0.494965909746028;0.298342037486462;1;41;M;PL;165
-0.347737875795933;-0.0966459758583632;1;26;M;PL;197
-0.178109819305262;0.01133212963469;1;20;F;PL;170
0.0328649935090958;0.170520556563603;1;41;F;PL;150
1.06640149601063;1.52749199142239;2;28;F;PL;158
0.776201277065509;0.82540325593273;2;27;F;RO;167
1.0952628067213;1.09904469115932;2;20;M;DE;168
1.41650441467878;0.556617561687165;2;33;M;CH;185
1.03197025600544;0.508921314323409;2;40;F;HU;150
1.1804771607943;1.11890216939759;2;18;M;HU;198
0.37120419439214;0.698378242313291;2;20;F;RO;196
0.0054265911369231;1.18768122216426;1;19;F;BG;167
0.961776294591501;1.05017673675433;2;36;M;BG;200
1.01718389797224;0.745699949379925;2;21;M;RO;198
0.993901480829161;0.594812655813023;1;19;M;DE;170
1.30952821508517;1.00400058506746;2;15;M;CH;159
1.39424734129721;1.30422170068283;2;41;M;HU;182
0.677652128213769;1.39708818517354;2;30;F;HU;189
0.77101948188716;1.34910621174928;2;23;F;RO;168
1.31656968322692;1.1979073942442;2;21;M;BG;165
1.09109528670506;0.797579567485875;2;25;M;BG;189
1.09755100473457;1.33902009299357;2;29;M;RO;181
1.03179782470096;1.27012192293703;2;17;M;DE;158
1.24002921370828;1.13816191915699;2;34;F;CH;154
0.609042245054507;1.60730405489487;2;41;M;HU;185
0.994999787105017;0.490945246609832;2;22;F;HU;191
1.09633164412194;0.50595223310435;2;36;M;RO;174
1.29467429843214;0.474928508760621;2;32;F;BG;187
1.15885916740152;1.15599686169697;2;25;M;BG;193
0.883056434387649;0.923296243582995;2;43;F;RO;195
0.495625002903368;0.958932187134347;2;15;F;DE;179
0.53885421445832;1.04457855629802;2;32;F;CH;171
0.777843329084442;1.11026726928157;2;26;M;HU;179
0.85376206182077;0.349196919070833;2;32;F;HU;198
1.13505954380928;1.14816504826096;2;40;M;RO;180
0.580563063264908;0.614671459317926;2;32;M;BG;195
0.756336422351915;0.639356390314281;2;17;F;BG;168
1.25344818145174;1.24963718310242;2;37;M;RO;159
0.989099409246504;0.509372444677413;2;17;M;DE;175
0.695663029323686;1.29614372219628;2;34;M;CH;195
0.955038144360446;0.729332757907763;2;24;F;HU;191
1.13835344596424;1.16526852250092;2;41;M;HU;189
1.21061560290607;0.768324494702449;2;29;F;RO;170
0.806919207955974;0.733763514937758;2;29;M;BG;160
0.349101081785439;0.663499628444723;2;18;M;BG;184
1.24062350287933;0.585746039782436;2;38;M;PL;152
1.11981390591385;1.00218027659671;2;34;M;PL;200
0.527377026959762;1.19056764864496;1;28;F;PL;149
1.14663516486385;0.93473682104617;2;30;M;PL;175
0.688044784768103;1.28151219057893;2;16;F;PL;151
0.991590929818537;1.19573916901797;2;21;F;PL;184
1.4272563916372;0.997390897095412;2;29;F;PL;160
1.1334135918535;1.07351424318246;1;25;M;PL;166
1.24372632508005;1.45898778939897;2;17;F;PL;149
-0.714745360334693;-0.205700535546751;3;32;M;PL;168
0.00389125034183836;-0.0649526637906665;3;29;M;PL;155
0.0290234698320985;-0.155655585655269;3;18;M;RO;176
-0.116415571628111;0.338732561272587;3;15;F;DE;172
-0.478757051840594;-0.417533911411375;3;20;M;CH;191
0.13772256070863;0.525525351804625;3;15;F;HU;178
-0.494965909746028;0.298342037486462;3;31;F;HU;178
-0.347737875795933;-0.0966459758583632;3;15;M;RO;179
-0.178109819305262;0.01133212963469;3;43;M;BG;178
0.0328649935090958;0.170520556563603;3;17;M;BG;159
1.06640149601063;1.52749199142239;3;43;M;RO;194
0.776201277065509;0.82540325593273;3;32;M;DE;152
1.0952628067213;1.09904469115932;3;24;M;CH;150
1.41650441467878;0.556617561687165;3;25;F;HU;178
1.03197025600544;0.508921314323409;3;17;M;HU;189
1.1804771607943;1.11890216939759;3;18;F;RO;164
0.37120419439214;0.698378242313291;3;31;M;BG;193
0.00542659113692312;1.18768122216426;3;41;M;BG;162
0.961776294591501;1.05017673675433;3;26;M;RO;185
1.01718389797224;0.745699949379925;3;20;F;DE;177
0.993901480829161;0.594812655813023;3;41;F;CH;150
1.30952821508517;1.00400058506746;3;28;F;HU;171
1.39424734129721;1.30422170068283;3;27;F;HU;195
0.677652128213769;1.39708818517354;3;20;M;RO;172
0.77101948188716;1.34910621174928;3;33;M;BG;155
1.31656968322692;1.1979073942442;3;40;F;BG;168
1.09109528670506;0.797579567485875;3;18;M;RO;171
1.09755100473457;1.33902009299357;3;20;F;DE;155
1.03179782470096;1.27012192293703;3;19;F;CH;189
1.24002921370828;1.13816191915699;3;36;M;HU;190
0.609042245054507;1.60730405489487;3;21;M;HU;190
0.994999787105017;0.490945246609832;3;19;M;RO;150
1.09633164412194;0.50595223310435;3;15;M;BG;180
1.29467429843214;0.474928508760621;3;41;M;BG;161
1.15885916740152;1.15599686169697;3;30;F;RO;175
0.883056434387649;0.923296243582995;3;23;F;DE;172
0.495625002903368;0.958932187134347;3;21;M;CH;182
0.53885421445832;1.04457855629802;3;25;M;HU;156
0.777843329084442;1.11026726928157;3;29;M;HU;151
0.85376206182077;0.349196919070833;3;17;M;RO;191
1.13505954380928;1.14816504826096;3;34;F;BG;200
0.580563063264908;0.614671459317926;3;41;M;BG;186
0.756336422351915;0.639356390314281;3;22;F;PL;186
1.25344818145174;1.24963718310242;3;36;M;PL;158
0.989099409246504;0.509372444677413;3;32;F;PL;177
0.695663029323686;1.29614372219628;3;25;M;PL;198
0.955038144360446;0.729332757907763;3;43;M;PL;192
1.13835344596424;1.16526852250092;3;15;M;PL;163
1.21061560290607;0.768324494702449;3;32;M;PL;165
0.806919207955974;0.7337635149377;3;26;M;PL;152
